Country Name,Country Code,Region,Year,gdp_per_capita,life_expectancy,birth_rate,fertility_rate,population_total,population_growth,urban_population_pct,school_enrollment_secondary,school_enrollment_primary,health_expenditure_per_capita,labor_force_participation,exports_pct_gdp
China,CHN,East Asia,2005,1777.64,74.08,12.4,1.62,1303720000.0,0.59,42.99,,,73.0,72.6,33.37
China,CHN,East Asia,2006,2129.26,74.4,12.09,1.64,1311020000.0,0.56,44.34,74.06,105.24,82.48,72.28,35.53
China,CHN,East Asia,2007,2734.73,74.79,12.1,1.67,1317885000.0,0.52,45.89,78.16,105.44,98.56,71.95,34.91
China,CHN,East Asia,2008,3523.44,74.83,12.14,1.7,1324655000.0,0.51,46.99,82.68,106.2,133.84,71.62,32.09
China,CHN,East Asia,2009,3898.24,75.32,11.95,1.71,1331260000.0,0.5,48.34,88.29,105.59,164.88,71.29,24.33
China,CHN,East Asia,2010,4629.25,75.67,11.9,1.69,1337705000.0,0.48,49.23,90.78,104.18,188.87,70.96,26.72
China,CHN,East Asia,2011,5703.76,75.89,13.27,1.67,1345035000.0,0.55,51.83,92.03,103.33,239.2,70.86,26.15
China,CHN,East Asia,2012,6405.06,76.2,14.57,1.8,1354190000.0,0.68,53.1,92.26,103.18,284.7,70.41,25.08
China,CHN,East Asia,2013,7147.04,76.45,13.03,1.71,1363240000.0,0.67,54.49,,101.23,329.09,69.97,24.16
China,CHN,East Asia,2014,7781.07,76.71,13.83,1.77,1371860000.0,0.63,55.75,,96.9,362.29,69.65,23.07
China,CHN,East Asia,2015,8175.33,76.97,11.99,1.67,1379860000.0,0.58,57.33,,96.34,393.1,69.3,20.94
China,CHN,East Asia,2016,8254.87,77.21,13.57,1.77,1387790000.0,0.57,58.84,,96.88,398.17,68.88,19.2
China,CHN,East Asia,2017,8979.68,77.24,12.64,1.8,1396215000.0,0.61,60.24,,97.54,439.94,68.35,19.34
China,CHN,East Asia,2018,10085.66,77.71,10.86,1.54,1402760000.0,0.47,61.5,,97.81,504.11,67.81,18.77
China,CHN,East Asia,2019,10342.9,77.94,10.41,1.5,1407745000.0,0.35,62.71,,97.82,538.99,67.38,18.06
China,CHN,East Asia,2020,10627.46,78.02,8.52,1.24,1411100000.0,0.24,63.52,,98.79,582.95,65.72,18.2
China,CHN,East Asia,2021,12887.44,78.12,7.52,1.12,1412360000.0,0.09,64.72,,99.23,670.26,67.11,19.53
China,CHN,East Asia,2022,12970.61,78.2,6.77,1.03,1412175000.0,-0.01,65.22,,100.1,755.44,65.8,20.3
China,CHN,East Asia,2023,12951.18,77.95,6.39,1.0,1410710000.0,-0.1,65.53,,99.17,763.38,65.83,19.1
Hong Kong,HKG,East Asia,2005,26649.64,81.61,8.4,0.96,6813200.0,0.44,100.0,83.0,100.73,,60.57,177.45
Hong Kong,HKG,East Asia,2006,28224.1,82.38,9.6,0.98,6857100.0,0.64,100.0,83.15,101.06,,60.54,185.19
Hong Kong,HKG,East Asia,2007,30593.95,82.37,10.2,1.03,6916300.0,0.86,100.0,84.07,100.73,,60.56,186.41
Hong Kong,HKG,East Asia,2008,31515.53,82.34,11.3,1.06,6957800.0,0.6,100.0,85.7,102.48,,60.08,193.42
Hong Kong,HKG,East Asia,2009,30697.54,82.78,11.8,1.06,6972800.0,0.22,100.0,86.57,104.34,,59.98,178.14
Hong Kong,HKG,East Asia,2010,32550.14,82.96,12.6,1.13,7024200.0,0.73,100.0,87.91,105.43,,58.82,205.32
Hong Kong,HKG,East Asia,2011,35142.49,83.41,13.5,1.2,7071600.0,0.67,100.0,86.98,104.6,,59.33,212.85
Hong Kong,HKG,East Asia,2012,36730.8,83.45,12.8,1.28,7150100.0,1.1,100.0,108.26,107.34,,59.74,215.85
Hong Kong,HKG,East Asia,2013,38403.78,83.83,8.0,1.12,7178900.0,0.4,100.0,102.78,106.88,,60.49,221.61
Hong Kong,HKG,East Asia,2014,40315.37,83.94,8.6,1.24,7229500.0,0.7,100.0,105.56,105.05,,60.33,213.09
Hong Kong,HKG,East Asia,2015,42432.16,84.25,8.2,1.2,7291300.0,0.85,100.0,107.39,105.13,,60.46,195.9
Hong Kong,HKG,East Asia,2016,43734.2,84.21,8.3,1.2,7336600.0,0.62,100.0,107.75,104.74,,60.4,187.01
Hong Kong,HKG,East Asia,2017,46160.43,84.7,7.6,1.13,7393200.0,0.77,100.0,106.79,104.81,,60.47,188.9
Hong Kong,HKG,East Asia,2018,48537.57,84.87,7.2,1.08,7452600.0,0.8,100.0,108.16,103.43,,60.65,188.34
Hong Kong,HKG,East Asia,2019,48359.0,85.16,7.0,1.06,7507900.0,0.74,100.0,105.07,102.2,,60.0,177.65
Hong Kong,HKG,East Asia,2020,46109.23,85.5,5.8,0.88,7481000.0,-0.36,100.0,100.45,105.13,,58.98,176.3
Hong Kong,HKG,East Asia,2021,49770.56,85.53,5.0,0.77,7413100.0,-0.91,100.0,100.16,106.03,,58.74,204.01
Hong Kong,HKG,East Asia,2022,48825.84,83.66,4.4,0.7,7346100.0,-0.91,100.0,106.19,103.03,,57.85,194.49
Hong Kong,HKG,East Asia,2023,50562.36,85.25,4.4,0.75,7536100.0,2.55,100.0,,,,57.22,176.8
Japan,JPN,East Asia,2005,37812.9,81.96,8.4,1.26,127773000.0,0.01,85.96,,,2892.6,60.42,13.82
Japan,JPN,East Asia,2006,35991.55,82.32,8.7,1.32,127854000.0,0.06,87.15,,,2763.53,60.42,15.66
Japan,JPN,East Asia,2007,35779.02,82.51,8.6,1.34,128001000.0,0.11,88.27,,,2781.49,60.4,17.29
Japan,JPN,East Asia,2008,39876.3,82.59,8.7,1.37,128063000.0,0.05,89.29,,,3223.29,60.16,17.24
Japan,JPN,East Asia,2009,41309.0,82.93,8.5,1.37,128047000.0,-0.01,90.11,,,3696.58,59.86,12.42
Japan,JPN,East Asia,2010,44968.16,82.84,8.5,1.39,128070000.0,0.02,90.62,,,4071.8,59.58,14.92
Japan,JPN,East Asia,2011,48760.08,82.59,8.3,1.39,127833000.0,-0.19,90.86,,,5103.34,59.25,14.77
Japan,JPN,East Asia,2012,49145.28,83.1,8.2,1.41,127629000.0,-0.16,91.03,,,5232.36,59.01,14.41
Japan,JPN,East Asia,2013,40898.65,83.33,8.2,1.43,127445000.0,-0.14,91.15,101.78,102.26,4356.16,59.24,15.78
Japan,JPN,East Asia,2014,38475.4,83.59,8.0,1.42,127276000.0,-0.13,91.25,101.81,102.42,4121.21,59.44,17.42
Japan,JPN,East Asia,2015,34960.64,83.79,8.0,1.45,127141000.0,-0.11,91.35,102.2,102.42,3754.18,59.5,17.44
Japan,JPN,East Asia,2016,39375.47,83.98,7.8,1.44,127076000.0,-0.05,91.45,101.17,102.22,4194.23,59.99,16.06
Japan,JPN,East Asia,2017,38834.05,84.1,7.6,1.43,126972000.0,-0.08,91.55,101.88,102.25,4135.24,60.44,17.59
Japan,JPN,East Asia,2018,39751.13,84.21,7.4,1.42,126811000.0,-0.13,91.64,102.43,102.1,4265.78,61.45,18.31
Japan,JPN,East Asia,2019,40415.96,84.36,7.0,1.36,126633000.0,-0.14,91.72,102.67,102.65,4431.3,62.01,17.46
Japan,JPN,East Asia,2020,40028.73,84.56,6.8,1.33,126261000.0,-0.29,91.78,102.84,102.74,4581.61,61.95,15.53
Japan,JPN,East Asia,2021,40094.56,84.45,6.6,1.3,125681593.0,-0.46,91.87,102.16,102.22,4843.94,62.05,18.11
Japan,JPN,East Asia,2022,34065.64,84.0,6.3,1.26,125124989.0,-0.44,91.98,102.34,102.16,4201.79,62.5,21.55
Japan,JPN,East Asia,2023,33836.18,84.04,6.0,1.2,124516650.0,-0.49,92.08,102.34,102.5,3638.19,62.9,21.85
Macao,MAC,East Asia,2005,25681.22,81.34,7.8,0.91,473500.0,4.05,100.0,92.04,102.85,,63.91,84.39
Macao,MAC,East Asia,2006,29813.79,81.73,8.1,0.95,498900.0,5.23,100.0,92.98,100.33,,65.85,78.55
Macao,MAC,East Asia,2007,35400.23,81.73,8.7,1.01,520900.0,4.32,100.0,94.03,101.57,,68.6,78.88
Macao,MAC,East Asia,2008,38888.51,82.03,8.7,0.98,540700.0,3.73,100.0,89.82,102.43,,69.76,79.69
Macao,MAC,East Asia,2009,40354.28,82.18,8.9,1.0,535000.0,-1.06,100.0,89.31,101.26,,69.97,78.51
Macao,MAC,East Asia,2010,52596.23,82.27,9.5,1.07,537000.0,0.37,100.0,91.16,101.17,,69.99,87.42
Macao,MAC,East Asia,2011,67046.73,82.47,10.6,1.15,549600.0,2.32,100.0,94.93,102.68,,70.87,90.34
Macao,MAC,East Asia,2012,76058.02,82.47,12.9,1.36,567900.0,3.28,100.0,97.43,99.32,,70.74,90.77
Macao,MAC,East Asia,2013,87107.83,82.72,11.1,1.15,591900.0,4.14,100.0,98.61,99.69,,70.86,90.62
Macao,MAC,East Asia,2014,88355.32,83.02,11.8,1.22,621700.0,4.91,100.0,101.76,100.71,,71.4,85.61
