Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,8831.26976,8745.166211,9231.372409,10030.80891,12156.02939,10375.17201,10383.45933,11745.48992,11813.5022,12026.33449,12727.41027,12843.33429,11863.68395,12552.05469,12886.13595,14489.25866,15236.16049,18017.45894,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.382,72.397,72.365,72.43,70.839,72.587,72.662,72.709,72.769,72.687,72.654,72.64,72.801,72.794,72.751,72.672,72.708,72.752,72.852,..
American Samoa,ASM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,27.578,26.017,24.482,23.625,22.976,22.361,21.784,21.266,20.73,20.317,19.821,19.141,18.206,17.204,16.304,15.658,15.649,15.522,15.388,..
American Samoa,ASM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.863,3.685,3.509,3.42,3.359,3.292,3.169,3.043,2.932,2.852,2.78,2.699,2.598,2.494,2.404,2.36,2.327,2.305,2.286,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,56617,56374,56113,55828,55528,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761,49225,48342,47521,46765
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-0.354388346,-0.430123416,-0.464054457,-0.509197909,-0.538813761,-0.541732698,-0.604780137,-0.742342325,-0.890369493,-1.004921364,-1.105856451,-1.204318086,-1.269387464,-1.323023571,-1.382578863,-0.89627488,-1.082992017,-1.81008765,-1.712902942,-1.603665872
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,34535.20727,36658.82435,41128.24766,49811.20672,42954.84949,52313.8939,62799.3895,68301.44025,68476.67885,62817.20618,56970.3613,50084.44406,54117.54772,57410.17373,55194.75851,51983.45237,60758.90444,65169.51911,65058.37731,64603.98563
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3,82.4,82.44878049,82.5,82.74878049,82.9,83.2,83.3,83.2,83.05121951,..
Australia,AUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.8,12.9,14.1,14,13.9,13.7,13.6,13.7,13.3,13.2,12.9,12.9,12.6,12.6,12.1,11.5,12.1,11.6,10.8,..
Australia,AUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.807,1.908,1.959,1.984,1.971,1.928,1.926,1.92,1.855,1.826,1.814,1.752,1.741,1.74,1.657,1.581,1.7,1.63,1.5,..
